asample,bsample,JaccardDistance
S0008,SS0157,0.13071994194394276
S0017,SS0039,0.13083889277551886
SS0033,SS0039,0.208323967692297
S0017,SS0034,0.12637899929387286
S0017,SS0047,0.22536631355545844
SS0033,SS0150,0.20069240126743726
SS0042,SS0150,0.177355288353076
SS0034,SS0155,0.13383853204002383
S0025,SS0154,0.17668026189205654
S0015,SS0045,0.24086210173139155
SS0045,SS0153,0.2315287580939721
SS0037,SS0149,0.137915533278672
S0006,S0017,0.11804215776484517
SS0033,SS0043,0.13992085027211665
S0008,S0021,0.19630669075335605
S0003,SS0041,0.1238986566913357
S0018,SS0157,0.20881079576057548
S0025,S0026,0.0897129558159454
S0020,SS0158,0.12244433964506274
S0013,SS0158,0.14102342612070606
S0020,S0029,0.09133190104814803
S0002,SS0155,0.2003587059668881
SS0154,SS0155,0.18534765400050646
SS0042,SS0154,0.25206566785076456
S0015,S0021,0.15616770024777327
SS0048,SS0153,0.1905078357792157
SS0037,SS0042,0.149819659803763
S0006,S0011,0.21902857320304625
S0025,SS0043,0.16028888042415224
SS0041,SS0155,0.17325023323055455
S0017,S0019,0.13624663832296968
S0005,S0011,0.18269308253406247
S0002,SS0040,0.15237317291271835
S0008,S0022,0.17444655495600725
S0017,S0022,0.12595583694007162
S0020,S0023,0.1520738131869489
S0029,SS0048,0.20119377607681843
SS0039,SS0155,0.15528630223112916
S0015,S0026,0.1720483590991576
S0002,SS0153,0.22794339217603288
SS0041,SS0158,0.21570175972528982
S0021,SS0042,0.19187272219613494
S0017,S0018,0.06992088593550194
S0005,S0016,0.10384627792511913
SS0040,SS0151,0.16761678727456153
SS0036,SS0154,0.1934135022057285
S0022,SS0158,0.1757031033465798
S0011,S0017,0.25596167959509686
S0022,SS0150,0.1333285039282962
SS0046,SS0150,0.1802976155047199
S0023,SS0158,0.1402058723443872
S0002,S0017,0.1398304243994577
S0012,SS0151,0.4195171498637783
S0002,S0012,0.3184695279356725
S0003,SS0149,0.2053979618356283
S0013,S0023,0.17829376315781753
